onset	duration	valence	arousal	flubber_frequency	flubber_amplitude
505997.23737713764	n/a				1.0
505997.2483733086	n/a				1.0
505997.2595056743	n/a				1.0
505997.2706145409	n/a				1.0
505997.28166730964	n/a				1.0
505997.2927714764	n/a				1.0
505997.30395584	n/a				1.0
505997.31509880524	n/a				1.0
505997.32625607	n/a				1.0
505997.33711944614	n/a				1.0
505997.3483046097	n/a				1.0
505997.35950427275	n/a				1.0
505997.37064133823	n/a				1.0
505997.38156501204	n/a				1.0
505997.392690278	n/a				1.0
505997.404019436	n/a				1.0
505997.4150099072	n/a				1.0
505997.42607097566	n/a				1.0
505997.43725663924	n/a				1.0
505997.448309908	n/a				1.0
505997.4593650766	n/a				1.0
505997.47053714073	n/a				1.0
505997.48158140987	n/a				1.0
505997.49270577583	n/a				1.0
505997.5038322417	n/a				1.0
505997.5149585076	n/a				1.0
505997.52608957334	n/a				1.0
505997.5371021437	n/a				1.0
505997.5482762077	n/a				1.0
505997.5593286765	n/a				1.0
505997.5706636342	n/a				1.0
505997.58151371096	n/a				1.0
505997.5926893749	n/a				1.0
505997.60374714347	n/a				1.0
505997.614958506	n/a				1.0
505997.62608277204	n/a				1.0
505997.637129641	n/a				1.0
505997.64834970323	n/a				1.0
505997.65927387704	n/a				1.0
505997.67041454243	n/a				1.0
505997.6815287088	n/a				1.0
505997.6925746778	n/a				1.0
505997.7037480419	n/a				1.0
505997.7149099064	n/a				1.0
505997.7258846782	n/a				1.0
505997.73705674225	n/a				1.0
505997.7481389099	n/a				1.0
505997.75955296453	n/a				1.0
505997.77065463143	n/a				1.0
505997.7819308915	n/a				1.0
505997.7924856797	n/a				1.0
505997.8037488403	n/a				1.0
505997.8148250081	n/a				1.0
505997.8259087757	n/a				1.0
505997.83704634116	n/a				1.0
505997.8481121094	n/a				1.0
505997.8591150801	n/a				1.0
505997.87032454275	n/a				1.0
505997.8813884111	n/a				1.0
505997.89254407585	n/a				1.0
505997.9035782453	n/a				1.0
505997.9149082033	n/a				1.0
505997.92576937954	n/a				1.0
505997.936906345	n/a				1.0
505997.94805730996	n/a				1.0
505997.959180976	n/a				1.0
505997.97035394004	n/a				1.0
505997.9813062127	n/a				1.0
505997.99235778156	n/a				1.0
505998.00374913705	n/a				1.0
505998.01476880716	n/a				1.0
505998.0257367792	n/a				1.0
505998.03694624186	n/a				1.0
505998.0480050104	n/a				1.0
505998.0591119771	n/a				1.0
505998.0702919409	n/a				1.0
505998.08139290777	n/a				1.0
505998.0924456765	n/a				1.0
505998.1036207405	n/a				1.0
505998.1148140038	n/a				1.0
505998.1257130786	n/a				1.0
505998.13688604266	n/a				1.0
505998.14803670766	n/a				1.0
505998.1590370784	n/a				1.0
505998.170222942	n/a				1.0
505998.1812913102	n/a				1.0
505998.1922686819	n/a				1.0
505998.2035601413	n/a				1.0
505998.2146737077	n/a				1.0
505998.225686978	n/a				1.0
505998.2368533423	n/a				1.0
505998.24804090586	n/a				1.0
505998.2590098779	n/a				1.0
505998.27016774256	n/a				1.0
