onset	duration	trial_type
506039.2639341513	n/a	start_resting_state_eye_open
506189.2614583534	n/a	end_resting_state_eye_open
506211.33987019875	n/a	start_resting_state_eye_closed
506361.33716820966	n/a	end_resting_state_eye_closed
506364.2925327974	n/a	on_block_start
506525.4203551179	n/a	play_video
506826.8692456961	n/a	on_block_start
506846.574531336	n/a	play_video
506936.61180146516	n/a	video_end
506938.61052427907	n/a	play_video
507191.60750865197	n/a	video_end
507193.60638685984	n/a	play_video
507283.6442224669	n/a	video_end
507285.6535656664	n/a	play_video
507676.3101060438	n/a	video_end
507678.30939413566	n/a	play_video
507768.3461530847	n/a	video_end
507770.3453486802	n/a	play_video
508151.40608836623	n/a	video_end
508153.4051862655	n/a	play_video
508243.44215480634	n/a	video_end
508243.44216060615	n/a	on_end_trial
508243.44216170604	n/a	stop_rating
508270.19624291634	n/a	start_resting_state_eye_open
508420.1955396493	n/a	end_resting_state_eye_open
508423.9155575017	n/a	start_resting_state_eye_closed
508573.91473433934	n/a	end_resting_state_eye_closed
