name	type	units	description
VEOG_up	VEOG	uV	EOG channel VEOG_up of BrainVision actiCap 64 channels
Fz	EEG	uV	EEG channel Fz of BrainVision actiCap 64 channels
F3	EEG	uV	EEG channel F3 of BrainVision actiCap 64 channels
F7	EEG	uV	EEG channel F7 of BrainVision actiCap 64 channels
HEOG_left	HEOG	uV	EOG channel HEOG_left of BrainVision actiCap 64 channels
FC5	EEG	uV	EEG channel FC5 of BrainVision actiCap 64 channels
FC1	EEG	uV	EEG channel FC1 of BrainVision actiCap 64 channels
C3	EEG	uV	EEG channel C3 of BrainVision actiCap 64 channels
T7	EEG	uV	EEG channel T7 of BrainVision actiCap 64 channels
TP9	EEG	uV	EEG channel TP9 of BrainVision actiCap 64 channels
CP5	EEG	uV	EEG channel CP5 of BrainVision actiCap 64 channels
CP1	EEG	uV	EEG channel CP1 of BrainVision actiCap 64 channels
Pz	EEG	uV	EEG channel Pz of BrainVision actiCap 64 channels
P3	EEG	uV	EEG channel P3 of BrainVision actiCap 64 channels
P7	EEG	uV	EEG channel P7 of BrainVision actiCap 64 channels
O1	EEG	uV	EEG channel O1 of BrainVision actiCap 64 channels
Oz	EEG	uV	EEG channel Oz of BrainVision actiCap 64 channels
O2	EEG	uV	EEG channel O2 of BrainVision actiCap 64 channels
P4	EEG	uV	EEG channel P4 of BrainVision actiCap 64 channels
P8	EEG	uV	EEG channel P8 of BrainVision actiCap 64 channels
TP10	EEG	uV	EEG channel TP10 of BrainVision actiCap 64 channels
CP6	EEG	uV	EEG channel CP6 of BrainVision actiCap 64 channels
CP2	EEG	uV	EEG channel CP2 of BrainVision actiCap 64 channels
Cz	EEG	uV	EEG channel Cz of BrainVision actiCap 64 channels
C4	EEG	uV	EEG channel C4 of BrainVision actiCap 64 channels
T8	EEG	uV	EEG channel T8 of BrainVision actiCap 64 channels
HEOG_right	HEOG	uV	EOG channel HEOG_right of BrainVision actiCap 64 channels
FC6	EEG	uV	EEG channel FC6 of BrainVision actiCap 64 channels
FC2	EEG	uV	EEG channel FC2 of BrainVision actiCap 64 channels
F4	EEG	uV	EEG channel F4 of BrainVision actiCap 64 channels
F8	EEG	uV	EEG channel F8 of BrainVision actiCap 64 channels
VEOG_down	VEOG	uV	EOG channel VEOG_down of BrainVision actiCap 64 channels
AF7	EEG	uV	EEG channel AF7 of BrainVision actiCap 64 channels
AF3	EEG	uV	EEG channel AF3 of BrainVision actiCap 64 channels
AFz	EEG	uV	EEG channel AFz of BrainVision actiCap 64 channels
F1	EEG	uV	EEG channel F1 of BrainVision actiCap 64 channels
F5	EEG	uV	EEG channel F5 of BrainVision actiCap 64 channels
FT7	EEG	uV	EEG channel FT7 of BrainVision actiCap 64 channels
FC3	EEG	uV	EEG channel FC3 of BrainVision actiCap 64 channels
C1	EEG	uV	EEG channel C1 of BrainVision actiCap 64 channels
C5	EEG	uV	EEG channel C5 of BrainVision actiCap 64 channels
TP7	EEG	uV	EEG channel TP7 of BrainVision actiCap 64 channels
CP3	EEG	uV	EEG channel CP3 of BrainVision actiCap 64 channels
P1	EEG	uV	EEG channel P1 of BrainVision actiCap 64 channels
P5	EEG	uV	EEG channel P5 of BrainVision actiCap 64 channels
PO7	EEG	uV	EEG channel PO7 of BrainVision actiCap 64 channels
PO3	EEG	uV	EEG channel PO3 of BrainVision actiCap 64 channels
POz	EEG	uV	EEG channel POz of BrainVision actiCap 64 channels
PO4	EEG	uV	EEG channel PO4 of BrainVision actiCap 64 channels
PO8	EEG	uV	EEG channel PO8 of BrainVision actiCap 64 channels
P6	EEG	uV	EEG channel P6 of BrainVision actiCap 64 channels
P2	EEG	uV	EEG channel P2 of BrainVision actiCap 64 channels
CPz	EEG	uV	EEG channel CPz of BrainVision actiCap 64 channels
CP4	EEG	uV	EEG channel CP4 of BrainVision actiCap 64 channels
TP8	EEG	uV	EEG channel TP8 of BrainVision actiCap 64 channels
C6	EEG	uV	EEG channel C6 of BrainVision actiCap 64 channels
C2	EEG	uV	EEG channel C2 of BrainVision actiCap 64 channels
FC4	EEG	uV	EEG channel FC4 of BrainVision actiCap 64 channels
FT8	EEG	uV	EEG channel FT8 of BrainVision actiCap 64 channels
F6	EEG	uV	EEG channel F6 of BrainVision actiCap 64 channels
F2	EEG	uV	EEG channel F2 of BrainVision actiCap 64 channels
AF8	EEG	uV	EEG channel AF8 of BrainVision actiCap 64 channels
AF4	EEG	uV	EEG channel AF4 of BrainVision actiCap 64 channels
Iz	EEG	uV	EEG channel Iz of BrainVision actiCap 64 channels
ECG	ECG	uV	cardiac channel (electrodes placed in Lead II configuration)
RESP	RESP	uV	respiratory channel (respiration belt)
PPG	PPG	uV	PPG channel (photoplethysmography of blood volume pulse) placed on left hand
GSR	GSR	uV	GSR channel (galvanic skin response), two electrodes placed on left hand
